id,project_code,name,project_type,clients,cpi,other_cost,operation_select,finance_select,upload_document,tentative_start_date,tentative_end_date,estimated_time,status,remark,created_by,assigned_to,created_at,is_active
3200,001glg769,Rental Real Estate Marketing,CATI,GLG,49,,1,0,,2025-01-13 05:30:00,2025-01-23 05:30:00,"10 days, 0:00:00",Completed,,Saransh Sharma,Navneet Tiwari,2025-01-15 05:48:18,1
3199,001glg768,Real Estate Platforms,CATI,GLG,48,,1,0,,2025-01-13 05:30:00,2025-01-23 05:30:00,"10 days, 0:00:00",Completed,,Saransh Sharma,Navneet Tiwari,2025-01-15 05:47:39,1
3198,007qua074,Qual73534399-1125-Legal[ME],CATI,Qualtrics,46,,1,0,,2025-01-13 05:30:00,2025-01-20 05:30:00,"7 days, 0:00:00",Completed,,Saransh Sharma,Ankit Narang,2025-01-15 05:47:02,1
3197,036inn056,INV167842 - College Faculty,CATI,Innovate MR,58,,1,0,,2025-01-13 05:30:00,2025-02-04 05:30:00,"22 days, 0:00:00",Completed,,Saransh Sharma,Saurabh Malik,2025-01-15 05:46:28,1
3196,001glg767,HVAC Electronic Equipments,CATI,GLG,49,,1,0,,2025-01-13 05:30:00,2025-02-06 05:30:00,"24 days, 0:00:00",Completed,,Saransh Sharma,Navneet Tiwari,2025-01-15 05:45:41,1
3195,001glg766,Network Survey - Pharmaceutical CDMOs,CATI,GLG,49,,1,0,,2025-01-13 05:30:00,2025-01-28 05:30:00,"15 days, 0:00:00",Completed,,Saransh Sharma,Navneet Tiwari,2025-01-15 05:45:09,1
3194,003pot229,BtoB luxury manufacturers in Italy - 31705894582,CATI,potloc,38,,1,0,,2025-01-13 05:30:00,2025-01-31 05:30:00,"18 days, 0:00:00",In Progress,,Saransh Sharma,Jagdeep Yadav,2025-01-15 05:44:18,1
3192,006oxf067,IBV OPERATIONALIZING AI QUALITATIVE SURVEY,IDI,Oxford Economics,0,,1,0,,2025-01-13 05:30:00,2025-02-17 05:30:00,"35 days, 0:00:00",On Hold,,Gaurav Prashant Saxena,Vishal Pathak,2025-01-13 18:02:33,1
3191,014b2b023,Coffee Manufacturer & Retailer,IDI,B2B International,775,,1,0,,2025-01-13 05:30:00,2025-01-31 05:30:00,"18 days, 0:00:00",Completed,,Alexander parkman,Vishal Pathak,2025-01-13 18:02:05,1
3190,083glo090,CCP4583 - Wellness Market in Mexico,IDI,Global Data,345,,1,0,,2025-01-06 05:30:00,2025-01-27 05:30:00,"21 days, 0:00:00",Completed,,Gaurav Prashant Saxena,Vishal Pathak,2025-01-13 17:56:33,1
3186,035har047,Anthropic / Microsoft Certificates,Online,Harmon,12,,1,0,,2025-01-10 05:30:00,2025-01-16 05:30:00,"6 days, 0:00:00",Completed,,Saransh Sharma,Pankaj Nandolia,2025-01-11 02:42:58,1
3185,035har046,2025_1003351_NA Airport W6,Online,Harmon,6,,1,0,,2025-01-10 05:30:00,2025-01-17 05:30:00,"7 days, 0:00:00",Completed,,Saransh Sharma,Pankaj Nandolia,2025-01-11 02:42:24,1
3184,001glg765,Mobile Phlebotomy Space - US - Unimrkt,CATI,GLG,50,,1,0,,2025-01-10 05:30:00,2025-02-06 05:30:00,"27 days, 0:00:00",Completed,,Saransh Sharma,Navneet Tiwari,2025-01-11 02:41:24,1
3183,001glg764,Map and Geospatial Services - India - Unimrkt,CATI,GLG,49,,1,0,,2025-01-10 05:30:00,2025-01-23 05:30:00,"13 days, 0:00:00",On Hold,,Saransh Sharma,Navneet Tiwari,2025-01-11 02:40:29,1
3182,035har045,2024-027 UT JH Academic - JAN,Online,Harmon,20,,1,0,,2025-01-09 05:30:00,2025-02-07 05:30:00,"29 days, 0:00:00",On Hold,,Saransh Sharma,Pankaj Nandolia,2025-01-11 02:28:55,1
3181,093app096,B2B Education sector study,CATI,Appinio,46,,1,0,,2025-01-10 05:30:00,2025-01-20 05:30:00,"10 days, 0:00:00",In Progress,,Gaurav Prashant Saxena,Saurabh Malik,2025-01-10 20:55:17,1
3180,006oxf066,IBM Payments Benchmarking survey,CATI,Oxford Economics,95,,1,0,,2025-01-10 05:30:00,2025-02-21 05:30:00,"42 days, 0:00:00",In Progress,,Gaurav Prashant Saxena,Pankaj Nandolia,2025-01-10 17:13:38,1
3179,006oxf065,IBV 2025 Chief AI Survey,CATI,Oxford Economics,46,,1,0,,2025-01-10 05:30:00,2025-02-11 05:30:00,"32 days, 0:00:00",In Progress,,Gaurav Prashant Saxena,Pankaj Nandolia,2025-01-10 17:09:26,1
3178,001glg763,Cloud Video Security Solutions,CATI,GLG,49,,1,0,,2025-01-09 05:30:00,2025-02-06 05:30:00,"28 days, 0:00:00",Completed,,Saransh Sharma,Navneet Tiwari,2025-01-10 04:25:48,1
